"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","2,071.80","2,076.10","2,084.10","2,067.60","105.72K","-0.56%"
"12/28/2023","2,083.50","2,089.50","2,098.20","2,074.60","129.54K","0.00%"
"12/27/2023","2,083.40","2,068.00","2,085.30","2,063.30","0.59K","1.12%"
"12/26/2023","2,060.40","2,056.30","2,069.60","2,056.30","0.29K","0.04%"
"12/22/2023","2,059.60","2,051.50","2,072.30","2,049.40","0.44K","0.87%"
"12/21/2023","2,041.80","2,034.70","2,048.00","2,034.00","0.54K","0.18%"
"12/20/2023","2,038.10","2,043.50","2,045.90","2,031.60","0.26K","-0.22%"
"12/19/2023","2,042.60","2,031.00","2,050.00","2,025.40","0.47K","0.58%"
"12/18/2023","2,030.90","2,023.70","2,036.30","2,020.80","0.25K","0.24%"
"12/15/2023","2,026.00","2,038.00","2,049.60","2,020.00","0.63K","-0.45%"
"12/14/2023","2,035.20","2,031.60","2,053.00","2,030.60","0.56K","2.37%"
"12/13/2023","1,988.10","1,985.50","2,033.30","1,979.00","2.22K","0.21%"
"12/12/2023","1,983.90","1,989.00","2,002.70","1,983.50","0.57K","-0.02%"
"12/11/2023","1,984.30","2,010.60","2,013.20","1,982.10","0.55K","-1.03%"
"12/08/2023","2,004.90","2,034.70","2,039.60","2,000.80","1.37K","-1.57%"
"12/07/2023","2,036.90","2,034.70","2,047.30","2,027.40","0.53K","-0.07%"
"12/06/2023","2,038.40","2,028.30","2,042.80","2,027.00","0.68K","0.57%"
"12/05/2023","2,026.90","2,039.20","2,050.00","2,019.90","1.42K","-0.30%"
"12/04/2023","2,032.90","2,083.40","2,140.70","2,030.00","2.70K","-2.28%"
"12/01/2023","2,080.40","2,049.00","2,086.20","2,043.40","2.01K","1.60%"
"11/30/2023","2,047.60","2,055.80","2,057.50","2,042.60","1.15K","-0.48%"
"11/29/2023","2,057.50","2,053.20","2,062.30","2,047.50","1.91K","0.86%"
"11/28/2023","2,040.00","2,014.30","2,044.10","2,011.50","174.67K","1.37%"
"11/27/2023","2,012.40","2,002.50","2,018.90","2,001.40","251.25K","0.47%"
"11/24/2023","2,003.00","1,991.20","2,004.50","1,990.90","214.88K","0.00%"
"11/23/2023","2,003.00","1,991.20","2,004.50","1,990.90","214.88K","0.51%"
"11/22/2023","1,992.80","2,000.30","2,008.30","1,988.60","199.37K","-0.44%"
"11/21/2023","2,001.60","1,980.00","2,009.80","1,979.90","230.02K","1.08%"
"11/20/2023","1,980.30","1,980.90","1,987.80","1,967.20","177.89K","-0.22%"
"11/17/2023","1,984.70","1,984.20","1,996.40","1,981.10","133.12K","-0.13%"
"11/16/2023","1,987.30","1,963.00","1,991.10","1,959.00","186.81K","1.17%"
"11/15/2023","1,964.30","1,966.90","1,979.20","1,958.80","142.92K","-0.11%"
"11/14/2023","1,966.50","1,950.30","1,975.30","1,938.80","180.74K","0.84%"
"11/13/2023","1,950.20","1,943.40","1,953.50","1,935.60","183.70K","0.65%"
"11/10/2023","1,937.70","1,964.10","1,965.60","1,936.90","229.64K","-1.63%"
"11/09/2023","1,969.80","1,955.50","1,971.50","1,948.30","214.08K","0.61%"
"11/08/2023","1,957.80","1,975.30","1,977.50","1,953.20","189.36K","-0.80%"
"11/07/2023","1,973.50","1,984.80","1,985.20","1,962.80","218.95K","-0.76%"
"11/06/2023","1,988.60","1,999.40","2,000.10","1,984.20","146.28K","-0.53%"
"11/03/2023","1,999.20","1,993.50","2,011.90","1,989.30","222.19K","0.29%"
"11/02/2023","1,993.50","1,992.00","1,999.20","1,986.30","158.65K","0.30%"
"11/01/2023","1,987.50","1,993.30","2,005.90","1,978.20","197.63K","-0.34%"
"10/31/2023","1,994.30","2,005.60","2,017.70","1,987.40","214.78K","-0.56%"
"10/30/2023","2,005.60","2,013.50","2,016.80","1,999.70","181.34K","0.83%"
"10/27/2023","1,989.00","1,987.50","2,009.80","1,978.50","0.37K","0.06%"
"10/26/2023","1,987.90","1,981.60","1,992.50","1,974.40","0.20K","0.12%"
"10/25/2023","1,985.50","1,972.00","1,988.80","1,971.00","0.16K","0.44%"
"10/24/2023","1,976.80","1,975.10","1,980.30","1,958.30","1.23K","-0.07%"
"10/23/2023","1,978.20","1,977.90","1,983.10","1,963.60","0.45K","-0.34%"
"10/20/2023","1,985.00","1,976.50","1,998.90","1,975.70","1.03K","0.70%"
"10/19/2023","1,971.20","1,950.30","1,980.70","1,948.40","1.37K","0.63%"
"10/18/2023","1,958.80","1,926.60","1,966.10","1,926.60","0.33K","1.68%"
"10/17/2023","1,926.40","1,923.20","1,934.10","1,918.00","0.28K","0.07%"
"10/16/2023","1,925.10","1,931.90","1,931.90","1,912.00","0.47K","-0.36%"
"10/13/2023","1,932.10","1,875.20","1,934.80","1,875.20","0.89K","3.09%"
"10/12/2023","1,874.20","1,880.20","1,888.80","1,872.10","0.40K","-0.22%"
"10/11/2023","1,878.40","1,864.60","1,881.50","1,864.30","0.48K","0.63%"
"10/10/2023","1,866.70","1,866.30","1,870.00","1,858.10","0.36K","0.59%"
"10/09/2023","1,855.70","1,850.70","1,867.80","1,849.10","0.82K","1.03%"
"10/06/2023","1,836.70","1,826.20","1,840.20","1,815.30","0.65K","0.74%"
"10/05/2023","1,823.20","1,828.00","1,834.10","1,817.80","0.43K","-0.16%"
"10/04/2023","1,826.10","1,829.10","1,836.00","1,823.00","0.51K","-0.35%"
"10/03/2023","1,832.60","1,835.70","1,839.90","1,822.80","0.43K","-0.30%"
"10/02/2023","1,838.20","1,853.90","1,855.10","1,833.80","0.82K","-1.01%"
"09/29/2023","1,856.90","1,873.00","1,887.30","1,853.40","0.92K","-0.67%"
"09/28/2023","1,869.50","1,885.40","1,886.70","1,865.50","0.90K","-0.15%"
"09/27/2023","1,872.30","1,900.30","1,902.90","1,872.10","12.25K","-1.54%"
"09/26/2023","1,901.60","1,916.70","1,917.10","1,899.00","12.74K","-0.87%"
"09/25/2023","1,918.20","1,926.40","1,927.90","1,915.50","7.99K","-0.47%"
"09/22/2023","1,927.20","1,921.80","1,930.50","1,921.50","3.30K","0.31%"
"09/21/2023","1,921.20","1,932.80","1,933.60","1,915.00","5.62K","-1.41%"
"09/20/2023","1,948.60","1,934.70","1,950.20","1,930.40","6.22K","0.69%"
